hash,move,score - This file contains all positions with 4 to 6 moves on a 8x7 board.
432628143027716619,4,5
72340172905251083,3,-1
72341280939704587,4,3
72342371861528843,2,0
72340172838340101,2,3
72621647815049483,3,2
72340172838601477,3,25
72621647848407307,3,3
74030122209968645,2,3
216455360914194949,4,-3
72341272349770507,2,-2
216455360914129163,3,-3
72342371861399045,4,6
144397766909624587,2,4
72344570884653323,2,0
72340172871697925,3,6
72340172905251589,3,0
72340172838142253,3,0
72340172838143499,4,4
72340172838274821,1,14
72340177133306629,3,25
73466072744984843,4,0
72340177133306123,3,-3
360852023983276295,3,-5
72340172854920965,1,0
72340177166664453,4,4
72340172838145285,2,3
72341272349967109,3,25
72340190018011403,2,2
72340181428078085,4,6
72340177133111045,4,5
72903122791564805,3,5
72903122808341253,4,2
72340172855116549,2,-2
72621647815049989,3,25
72340181444854533,4,5
360852023966564615,2,2
360852023966499335,4,2
216456460425625867,2,-2
72341272349770007,4,-3
72340172855116043,2,-3
144397766876267269,3,25
72340181428208389,2,0
72341272383324933,3,3
216455360930775813,4,0
72341272349771525,1,4
72621656404787467,4,4
72341280939705093,4,4
72340172871828229,3,3
72340172838142742,2,3
72340172838273803,4,-3
72340172838732042,3,6
72621647848407813,3,3
72903122791695109,2,-3
360853123478126855,3,4
72340172839387397,3,3
72903127086531333,3,-3
144397775466004747,2,4
72340172905447685,1,25
217862735797486085,3,4
72340172838666507,4,2
360570548989853963,2,0
361696448896631046,4,2
144397766876266763,3,2
72340177166860549,1,25
72340190018208005,3,24
72904222303191307,2,-2
72342371878175493,3,4
144960716829557253,2,3
216455365208965893,3,-3
72341272383521029,1,25
72621647814854405,1,4
72344570884849925,3,24
144397766876071685,1,4
72342371861922053,4,6
72340181445050629,3,-3
72621647848603909,1,25
72621656404984069,3,24
72623846838305029,3,24
144399965899325707,2,4
72340177133699333,4,5
144960716829491467,2,3
144397766909821189,1,25
144397775466201349,3,24
144399965899522309,3,24
216456460425822469,3,2
72621647815442693,3,4
72340172872155397,1,25
72342371878371589,3,2
72342376156561669,2,2
216736835890905349,3,4
144397766876659973,3,5
216455365209161989,3,-3
72340172922028299,4,4
72342376156365573,2,4
