hash,move,score - This file contains all positions with 6 moves on a 7x6 board.
4433213702536,3,18
4432676832136,0,0
4501396276996,1,4
13228771918217,3,-1
4433750541188,3,3
8830723343236,3,5
4432676897160,0,3
13228769822468,1,4
4433213686660,4,5
4432676833028,1,4
4432676800265,1,3
8830727504772,2,5
8831260181380,3,5
8899442786697,3,2
4501396291977,2,0
4432945267588,2,4
13228769853832,0,0
4432685220228,4,18
4433213686153,2,2
4432678929284,1,2
4432676897540,2,6
8899442868357,2,4
13229038257028,1,3
4433750573444,3,18
4432676880777,2,3
13228771950980,3,0
4467036635524,3,11
4467040764292,4,18
4467573440900,3,18
8830723309974,3,1
4433215767428,1,2
4432676832900,3,1
8830727537028,4,18
8831260213636,3,18
4433215799684,3,0
4432680993169,2,18
4432681026308,4,3
4433217864072,2,18
4432676864900,3,0
4432676995460,3,3
4432676881284,2,4
4433213702916,4,6
4433217864452,5,17
4501400470276,4,17
4501396308740,1,4
4432681058692,4,18
4432678994308,2,3
4501396308360,0,0
13228769837956,1,2
4501398405508,3,0
4432949461380,2,0
4432949429124,1,3
4432945332612,2,4
17696072679557,3,0
8830723408260,2,5
4432701964676,4,6
4432680994436,4,5
4570115785092,3,0
4433754734980,2,18
4432681075076,2,4
4433217880452,2,4
4432689381768,0,5
4467577602436,2,18
4570119946628,4,17
4432689398148,3,5
4467049120132,4,12
8831264375172,2,18
8830735892868,3,10
13228774015368,0,1
4433213669777,0,-1
4433213751684,4,5
13228774031748,2,4
4501400469896,0,3
13228769902980,3,4
4501933146884,3,17
13228769837449,3,-1
4433213735300,3,18
4434287411972,4,6
4433213671044,3,5
4432687317380,3,4
4433222058372,2,18
4432687284617,3,0
4432689382148,3,6
9003058872453,4,4
4501668905348,3,0
13229042450820,3,0
4432957817220,3,4
4434287411592,0,3
4433224155524,3,4
13229306691976,0,1
4434018976137,3,4
4468647149956,3,11
4570652623236,3,17
4434289508740,4,3
8899442819460,3,3
13229306708356,4,4
4432687285124,1,4
4434287427972,4,5
4501664711556,1,3
13229308789124,1,1
4501396275601,0,-1
8832333922692,3,6
13263129559940,3,3
4433213670280,0,2
4501396357508,3,4
4501404664196,4,17
4501396341124,3,0
4434019008900,2,4
4502470017412,3,17
4432681010052,1,3
4501664743812,2,4
4570115752836,1,1
13228771918724,1,2
4501406761348,3,4
8899446980996,2,3
13228769821576,0,1
13263133753732,3,4
4501398373252,3,2
4501400486276,2,4
4604475490697,3,4
13228769821073,0,-1
4501933146504,0,1
13263666430340,3,3
13297489314180,3,3
13229306692356,3,3
13228778209668,4,17
9243040170117,5,1
13229843562884,3,17
4501935243652,3,0
4501933162884,4,5
13228780306820,3,3
4604479684996,3,5
13228769886596,3,0
4604475523460,4,4
4605012361604,3,4
4435898024324,3,3
4604475491204,1,3
4638835229444,3,4
4742451314821,5,1
8865619918987,5,2
4501396292484,1,2
26422909354377,3,4
13228774015748,1,4
13297489298180,3,3
4638835245444,5,3
4434018976644,1,4
4434023170436,4,4
4432676832009,1,2
9036881740164,3,3
4638835229064,0,2
4433213672706,3,13
4432680994309,3,4
4432680996098,4,13
13297491394948,3,0
17626816331927,3,2
30820955865480,0,0
4638837326212,3,3
17695537905799,3,0
13400568512900,2,3
4433213670917,3,3
17798615023751,0,3
8899442787204,1,2
4432676832773,2,0
4501396276741,4,2
13263129592196,5,3
4501396276868,3,3
4432676801669,2,3
8899979657604,2,2
4432676865666,3,0
13228769821449,1,1
13229038289284,2,0
4432685188738,2,-2
4501396278530,3,4
4433215768194,3,4
13228769822340,4,2
4433750541954,3,3
4433213687426,2,0
4432678899074,3,2
9243042267267,3,0
4432945268354,3,-2
17695540002950,5,3
4432678930050,3,0
4501396276104,0,1
4467036571266,4,3
4467573409410,4,4
8830723344002,4,4
17832974762118,5,3
4432949429890,3,3
9243308605571,2,0
17696072679558,2,2
17695535841414,2,4
8830727505538,4,4
4432681010818,3,4
4639103664516,5,2
4432681075458,3,13
4432678994690,3,13
4432676834434,4,5
4432676805250,4,0
17695535808653,3,3
13230111998340,4,3
4502738452868,4,3
4467040732802,3,4
4432681027074,5,4
4432676898306,2,7
9003864178819,3,4
4433215800066,3,5
8831260182146,3,4
4432676801924,2,2
4432676881157,2,4
4433213752066,3,4
4501396357890,3,3
4432949461762,3,5
4432676834562,3,3
9689716768899,3,3
4433213703682,4,4
17695535825031,0,0
4433217865218,5,17
4501400471042,4,17
4501398405890,3,3
4467573408517,5,2
4432689398530,2,13
4501396309506,3,4
4467036540290,4,3
17695535808775,2,2
4501400486658,4,6
4433217880834,5,6
4432687317762,2,13
