hash,move,score - This file contains all positions with 4 or 5 moves on a 8x7 board.
72341276644673282,1,-4
144397766892783362,1,2
72340177133372162,4,5
144397766876136962,1,6
72621656421499650,3,2
144960721141170435,2,-6
72621652109756162,1,-3
144960716829426436,3,2
72340172888539906,3,-5
72341276678226690,3,2
72340190017947138,3,4
72340190017946372,4,2
72340190034723586,4,2
72340177133047298,1,4
72342371911664386,3,-5
72621652143309570,3,0
72340172838340098,2,3
73747547738407682,3,2
144397771204526850,3,2
72341289529574146,4,4
72340185756533506,1,-4
72340185722980098,3,-4
72340190018011906,4,0
147493991619821827,4,-3
72621652109886210,5,-3
144960716846268675,4,-3
72623846854820610,3,0
72341276644803330,6,-4
144960721124393222,4,2
72343471372961538,1,0
144399965916037890,3,2
72341272433591042,4,3
144397766892913410,3,1
144397775482716930,4,6
72904226598093570,4,1
72623846838043396,5,2
72622747326546690,4,4
72904222303127042,3,3
72343471373091586,4,-2
72341272349707778,1,5
144398866387633922,1,6
72622747359970050,4,5
72341293824541442,3,1
144398866387763970,4,4
144398866421187330,4,4
72343471406514946,3,2
144397771170973442,1,-1
72621664994657026,6,2
72345674691183362,3,-3
72622747326416642,4,6
72341272349836802,2,3
144398874977567490,4,7
72343479962895106,4,3
72622755916350210,4,7
72344570884589058,2,2
72621647831696130,3,-2
144960716846203650,3,1
144960716846203395,3,0
72903122841830146,4,-5
72350068442727170,4,3
72621669289624322,3,0
144960721124393475,4,-2
72341272350032642,2,4
144679241886270210,4,6
72340185723110146,4,-5
144960716829622531,3,-4
73184597801763586,4,3
145805141759557894,4,2
73184597768210178,1,3
73184597768340226,4,2
73184606358143746,3,3
144960729714327811,4,-6
144679250442650370,4,7
72621647814790658,1,4
72623851133010690,4,0
144960716879757571,3,-5
144397771171103490,2,3
72340172838667010,5,1
144960716829491970,2,2
144397766876007938,1,6
73747547721696002,2,3
144679241852716802,1,5
74873447628473090,4,2
72340211492782850,4,-1
72344570884653826,4,2
144960725419360516,3,8
72621647898673922,3,6
144960716862980356,4,8
73747552016597762,5,-3
72627145372926722,4,6
73748647233258242,4,5
144403264434144002,4,6
144397766959891202,3,6
144402164922516226,5,0
146086616736268548,6,6
72621647814918409,3,5
144397766876332802,2,6
144679241852846850,4,3
144960716829491462,3,4
73466072761697026,3,-3
72342384746234626,4,-3
144397766876135689,3,5
72344570901365506,3,-3
72340172838470148,2,6
144397784055874306,3,3
72340172871762184,0,3
72341272350097668,2,6
72621647848472836,4,25
144397766909690116,4,25
73466072744985346,4,3
144397766876397828,2,7
72621647815180548,2,7
144964015364309251,3,-3
72340177133306626,4,-4
72340172838469896,0,4
72621656404852996,3,25
144397775466070276,3,25
144960716829491715,3,3
72344570884588292,3,-2
72340177166729476,3,3
72340172838207762,4,4
144960716829426691,4,0
72340172871762436,3,6
72621647815115522,4,5
72341272383389956,3,6
72340181428338948,3,6
72340172855247108,2,4
72906421326381826,4,-3
72340181428142344,0,5
72340181428142596,5,6
144397788350841602,4,6
72340181444919556,3,3
72342371861463556,5,7
72340172838928644,2,6
72341272349835529,5,3
72344575179555586,5,-3
73466072744919812,4,3
72341280939770116,5,6
72340172854984969,2,-2
72342371861659908,3,6
72626045861298946,5,-2
144399965899326210,2,5
72903122791825668,3,6
